3182;3854;7353
4032;4483;8874
2955;2914;6116
6672;7433;14698
7644;8466;16810
3102;3474;6888
5371;6137;11940
1235;638;1940
2331;3339;5914
3718;3759;7765
4397;4905;9717
2616;3163;6045
6684;7261;14559
7407;8367;16416
3047;3375;6668
5014;5703;11197
547;1460;2078
3280;2805;6324
3692;4384;8404
4405;5052;9847
2830;2983;6076
6530;7258;14408
7443;8053;16168
2776;3184;6193
4942;5331;10719
1429;727;2268
2614;3779;6652
4119;4377;8817
4919;5368;10705
2556;3184;6015
6479;7296;14344
7025;7979;15660
2748;2913;5908
4556;4887;9848
693;1654;2444
3736;3107;7143
4122;4801;9328
4774;5339;10529
2896;2943;6073
6321;7191;14098
7071;7860;15551
2514;2854;5609
4316;4761;9440
1511;831;2438
2918;4132;7357
4556;4704;9687
5225;5896;11553
2606;3144;6000
6385;6926;13863
6710;7665;14999
2513;2680;5404
4019;4531;8913
666;1829;2605
4040;3544;7913
4507;5273;10189
5188;5759;11355
3007;3010;6253
6154;7054;13847
6681;7354;14628
2355;2725;5272
3843;3961;8150
1711;901;2735
3213;4543;8028
4774;5242;10426
5696;6061;12300
2627;3211;6074
6092;6866;13526
6492;7198;14266
2219;2523;4976
3617;3964;7881
843;1967;2931
4376;3813;8553
4946;5714;11076
5479;6060;12026
2949;3072;6295
6026;6773;13345
6245;6896;13689
2132;2444;4773
3445;3770;7524
2012;1053;3213
3588;4999;8931
5211;5555;11228
5670;6231;12440
2626;3222;6080
6021;6619;13161
6035;6913;13522
2058;2289;4525
3219;3627;7110
893;2096;3131
4692;4035;9118
5061;5999;11545
5774;6505;12765
2906;3121;6289
5937;6542;12992
6127;6634;13303
1929;2198;4300
3121;3378;6767
2144;1150;3443
3780;5350;9511
5591;5867;11933
5897;6527;12960
2768;3134;6167
5733;6448;12694
5758;6526;12811
1901;2115;4187
2868;3391;6504
1004;2394;3532
5023;4539;9978
5431;6265;12172
5890;6580;13009
2926;3046;6220
5697;6215;12414
5714;6274;12528
1829;2055;4069
2926;3140;6288
2336;1192;3696
4132;5616;10184
5819;6139;12456
6234;6702;13492
2741;3233;6209
5410;6317;12243
5435;6319;12243
1766;1994;3895
2567;2996;5792
1080;2665;3894
5410;4662;10492
5792;6559;12880
6113;6882;13548
2862;3112;6227
5488;6097;12093
5462;5934;11878
1733;1881;3757
2500;2716;5441
2590;1410;4174
4361;6000;10810
6153;6465;13159
6120;6790;13421
2709;3172;6151
5376;6128;11955
5127;5940;11543
1669;1817;3644
2335;2786;5353
1243;2815;4216
5639;5088;11153
5818;6829;13206
6229;6994;13789
2847;2960;6051
5425;5840;11757
5305;5616;11383
1539;1765;3458
2395;2601;5197
2736;1484;4415
4724;6361;11551
6309;6727;13563
6195;6970;13740
2710;3255;6190
5199;5777;11464
4861;5687;10983
1554;1702;3403
2152;2545;4901
1352;3055;4580
5947;5375;11811
6193;7210;13983
6265;7158;13992
2955;3115;6334
5169;5603;11250
4966;5145;10499
1466;1651;3260
2127;2196;4501
2857;1703;4775
4922;6669;12069
6489;6973;14027
6526;7033;14108
2686;3195;6142
4972;5693;11100
4566;5319;10323
1445;1546;3115
1977;2377;4551
1382;3402;4975
6307;5671;12468
6318;7372;14297
6428;7246;14274
3001;2890;6143
5040;5495;10965
4728;4940;10069
1320;1526;2966
1916;1966;4053
3224;1863;5313
5162;7064;12731
6552;7098;14243
6689;7101;14376
2610;3220;6114
4753;5578;10765
4377;5061;9806
1294;1442;2846
1779;2081;4016
1563;3574;5343
6534;6109;13173
6391;7355;14307
6401;7369;14383
2849;3029;6129
4926;5283;10624
4667;4669;9766
1260;1325;2696
1849;1795;3789
3552;1962;5763
5562;7572;13624
6890;7260;14772
